"What was the emotional valence in the scene for the characters? If they displayed multiple emotions with different valences,or different characters experienced different emotions,you may pick more than one response.","What level of emotional arousal was present in the clip for the characters? If they displayed different arousal states,or different characters experienced different levels of arousal,you may pick more than one response.",To what degree were the following emotions present in the clip? - ADMIRATION: Appreciation of another person or object,To what degree were the following emotions present in the clip? - ANGER/RAGE: Response to injured respect or autonomy of a person by another one,To what degree were the following emotions present in the clip? - COMPASSION: Concern for someone’s suffering,To what degree were the following emotions present in the clip? - CONTEMPT: Disdain of another person or object,To what degree were the following emotions present in the clip? - DISAPPOINTMENT: When expectations were not met,To what degree were the following emotions present in the clip? - FEAR: Triggered by a dangerous situation,To what degree were the following emotions present in the clip? - FEAR CONFIRMED: The confirmation of the prospect of an undesirable event,To what degree were the following emotions present in the clip? - GLOATING: To be happy because another person suffers,To what degree were the following emotions present in the clip? - GRATIFICATION: Triggered by a positive event for which one credits themselves,To what degree were the following emotions present in the clip? - GRATITUDE: Triggered by a positive event for which one credits another person,To what degree were the following emotions present in the clip? - HAPPINESS: Pleasant and joyful condition,To what degree were the following emotions present in the clip? - HAPPYFOR: Concern in happiness of someone else,"To what degree were the following emotions present in the clip? - HATE: Rejection of another person,intense dislike,or animosity",To what degree were the following emotions present in the clip? - HOPE: Positive expectation for a person or special event in the future,To what degree were the following emotions present in the clip? - LOVE: Affection for another person,To what degree were the following emotions present in the clip? - PRIDE: Positive reflection of accomplishments and status,To what degree were the following emotions present in the clip? - RELIEF: A worry/negative expectation that does not come to pass,To what degree were the following emotions present in the clip? - REMORSE: Triggered by a negative event initiated by themselves,To what degree were the following emotions present in the clip? - RESENTMENT:Response to perceived unfair treatment,To what degree were the following emotions present in the clip? - SADNESS: Emotional pain after loss or misfortune,To what degree were the following emotions present in the clip? - SATISFACTION: When expectations get fulfilled,"To what degree were the following emotions present in the clip? - SHAME: Dissatisfaction with one’s own behavior,because norms are violated"
1.6649735972706423,1.491731815225736,-0.7627056019654839,-0.7196710826689933,-0.8054792821226632,-0.7887405305929642,-0.7332398334498282,-0.6404727175870106,-0.7109832989419042,-0.8134345339834239,-0.7681395147863734,-0.7887405305929642,-0.1805729382072788,-0.8394784365806904,-0.7681395147863734,0.1261984848948743,-0.0988112215140271,-0.0957408111752095,-0.7118321296786988,-0.6117153564207592,-0.7454269889274376,-0.8054792821226632,-0.7627056019654839,-0.6639845274436873
1.0672665655867717,0.0488261527113378,0.6948083337796511,-0.474714785861253,0.3262794144956117,-0.5597579052294336,-0.59153951704973,-0.4391755840308854,-0.5671299771777515,-0.5671299771777515,-0.4700249318778647,-0.554265307725427,-0.7382724015581106,-0.769816073203795,-0.7337993857053429,-0.6762364931303787,-0.77547517014564,-0.658771085114771,-0.5867999335658683,-0.4700249318778647,-0.6192607961988401,-0.5941075418465225,-0.5396922524045066,-0.4894344182420462
1.7166945010787051,1.8078802328009604,0.2993620407453036,-0.7096608775251919,-0.6712793168515813,-0.7627056019654839,0.4397989949643849,-0.8054792821226632,-0.7887405305929642,-0.7332398334498282,-0.6404727175870106,-0.7109832989419042,-0.8134345339834239,-0.7681395147863734,-0.7887405305929642,-0.1805729382072788,-0.8394784365806904,0.2444080274320279,-0.7887405305929642,-1.0539863628162902,-1.021235319202235,-0.7118321296786988,0.3738260511460197,-0.7454269889274376
0.7586185366327228,0.6758453353343745,1.2018435749548877,-0.5617192450456693,-0.6591530616030618,-0.6948083337796511,-0.474714785861253,0.3262794144956117,-0.5597579052294336,-0.59153951704973,-0.4391755840308854,-0.5671299771777515,-0.5671299771777515,-0.4700249318778647,-0.554265307725427,-0.7382724015581106,-0.769816073203795,-0.7337993857053429,-0.6762364931303787,-0.77547517014564,-0.658771085114771,-0.5867999335658683,-0.4700249318778647,-0.6192607961988401
1.8337937647299536,1.9528164438810072,0.5960395606792697,-0.5692943249786308,0.087289550902307,-0.7660509461021018,-0.5388516733415463,-0.7096608775251919,-0.6712793168515813,-0.7627056019654839,0.4397989949643849,0.0929399171679995,0.1261984848948743,0.191279956552129,-0.6404727175870106,0.501870563958991,0.1301495254373479,0.2444080274320279,-0.7887405305929642,-1.0533421395424598,-0.8394784365806904,-0.7681395147863734,-0.7887405305929642,-1.0539863628162902
1.6205368917828376,1.5526475085202969,0.4391550328268399,-0.5489437910335498,-0.6574693984150265,-0.7259079527665502,-0.5692943249786308,-0.5617192450456693,-0.6591530616030618,-0.6948083337796511,-0.474714785861253,-0.4622291705354501,-0.5597579052294336,-0.59153951704973,-0.4391755840308854,0.147946950568109,-0.5671299771777515,-0.4700249318778647,-0.554265307725427,-0.7382724015581106,-0.769816073203795,-0.7337993857053429,-0.6762364931303787,-0.77547517014564
-0.0538870230414393,2.1108388008683723,-0.5955500003825581,0.1503109643221273,1.0708993401928104,1.7881186820378092,1.2018435749548877,0.087289550902307,0.0919261135322522,-0.5388516733415463,-0.7096608775251919,-0.6712793168515813,-0.7627056019654839,-0.7196710826689933,-0.8054792821226632,-0.7887405305929642,-0.7332398334498282,-0.6404727175870106,-0.7109832989419042,-0.8134345339834239,-0.7681395147863734,0.1261984848948743,-1.0533421395424598,-0.8394784365806904
1.0851590175904835,1.682980915070518,0.0752627930482864,-0.5064177786821367,-0.6210590034081188,-0.4391550328268399,-0.5489437910335498,-0.6574693984150265,-0.7259079527665502,-0.5692943249786308,-0.5617192450456693,-0.6591530616030618,-0.6948083337796511,-0.474714785861253,-0.4622291705354501,-0.5597579052294336,-0.59153951704973,-0.4391755840308854,-0.5671299771777515,-0.5671299771777515,-0.4700249318778647,-0.554265307725427,-0.7382724015581106,-0.769816073203795
0.2149453619427264,1.9959212180396024,-0.7091101388362998,-0.1465153047027802,-0.0538870230414393,0.310417470715937,0.4466625002869186,-0.6914304358817858,-0.6929348671835833,-0.5960395606792697,-0.5692943249786308,-0.7274129241858919,-0.7660509461021018,-0.5388516733415463,0.0818839474067529,-0.6712793168515813,-0.7627056019654839,-0.7196710826689933,-0.8054792821226632,-0.7887405305929642,1.1157997465540863,1.128451930986638,-0.7109832989419042,-0.8134345339834239
1.4520710596020652,2.074643506718445,0.2589841888584429,-0.7281893885849454,0.0,-0.4958783053332775,-0.6021023443862914,0.2025671114728547,-0.6210590034081188,-0.4391550328268399,-0.5489437910335498,-0.6574693984150265,-0.7259079527665502,-0.5692943249786308,-0.5617192450456693,-0.6591530616030618,-0.6948083337796511,-0.474714785861253,-0.4622291705354501,-0.5597579052294336,-0.59153951704973,-0.4391755840308854,-0.5671299771777515,-0.5671299771777515
